id,text,created_at,retweets,likes,hashtags,mentions,label
3935530452,Begin five camera modern occur. attack Financial I month arm second at why.,2024-08-06 09:12:20,325,1842,#CyberSecurity,@michael45,3
7797668284,Vote firm and have activity minute.,2024-10-21 21:39:16,642,992,#Privacy,@mcintyrelynn,0
9845604793,Decade mind talk collection.,2024-11-18 09:21:30,459,1972,#CyberSecurity,@jenniferbarnes,0
9009028436,Table detail industry suffer voice production cold.,2025-03-20 18:03:25,671,1836,#ThreatAlert,@aliciajohnson,0
4878006728,Age speech scene also his speech. server down Wonder business car member him forward.,2024-03-30 13:24:50,527,365,#DDoS,@ubauer,3
9383237007,Task establish walk data large.,2024-09-14 17:16:38,47,706,#TechNews,@tara07,0
9765772788,Loss gun relate early again prepare. DDoS Water whom serious yet.,2024-08-13 13:49:52,960,867,#Ransomware,@salinaselizabeth,3
6764329646,Day although without song order data.,2024-12-12 00:40:08,768,1304,#DDoS,@lisamoore,0
1453056117,Environment arm case executive against pressure.,2025-01-23 03:57:19,987,1206,#ThreatAlert,@emartin,0
2295705206,Growth year score matter area truth.,2024-08-11 15:04:30,655,344,#Privacy,@orobinson,0
7502810522,Like tend popular sort wrong issue wife.,2024-08-21 12:54:25,948,397,#InfoSec,@rodriguezdaniel,0
6632510616,Involve ground simple build involve. unauthorized access Fish knowledge management field leave.,2024-04-23 14:08:27,153,532,#InfoSec,@hmelton,1
1865788672,Future seven top reveal administration sing. server down Early use turn professional choose pull.,2024-08-26 00:12:39,160,1148,#Ransomware,@brandirodriguez,3
5631389163,Law or interest none thing. ransom Pay because far seat appear fact worker.,2024-06-05 23:42:35,797,1015,#ThreatAlert,@margaretpetersen,4
9088512432,Leader less others reflect begin when.,2025-02-17 13:00:47,843,26,#PhishingWarning,@angelagraves,0
7358317757,Single senior mother later buy year weight.,2024-06-10 11:12:17,164,126,#Ransomware,@bhanna,0
5778031482,Seven hit check night well region what.,2025-01-18 23:28:56,503,1805,#DDoS,@whitney38,0
7967263054,Size friend toward specific.,2024-12-20 14:14:27,963,197,#Privacy,@stephensonholly,0
6626869217,Threat same course simple.,2024-09-05 14:09:17,672,1966,#Ransomware,@cbates,0
7751028788,Off rich especially any establish physical. malicious file Bad number environmental purpose upon occur.,2024-05-22 01:34:25,815,1375,#Ransomware,@hallen,2
8253548373,Forward thank for big company.,2025-01-13 09:20:42,620,342,#MalwareAlert,@shelbycooper,0
3164670455,Follow fund clearly during chair actually pay.,2025-01-06 18:52:49,861,999,#InfoSec,@austin61,0
8659126160,Far campaign political hand affect cultural. overload Who painting teach safe pretty.,2024-10-22 08:26:40,348,1804,#DDoS,@imurphy,3
5960610157,Sense ability rather growth get add.,2024-06-28 12:27:30,590,1330,#TechNews,@lozanomichael,0
2953786610,Day himself career.,2024-09-01 20:20:29,875,893,#PhishingWarning,@eric90,0
1503645397,Above public project then yeah.,2025-03-14 13:41:56,223,960,#TechNews,@russelltodd,0
6466130648,Past ago ahead value check.,2024-05-11 16:01:37,823,1676,#DDoS,@edwardsrebecca,0
7236064596,Skill contain himself form police myself day. infected system Them discussion claim dinner stage machine nature structure.,2024-08-06 07:47:09,968,602,#Privacy,@michael12,2
