text,threat_type,label
Hard pull base week trip item. password Popular new those account.,phishing,1
Despite since while.,normal,0
Above space billion alone still bit gun. payment Strategy go author item second process.,ransomware,4
Front structure your hear whom remain. malicious file Actually century mean.,malware,2
Similar animal herself build technology month cover.,normal,0
Tend road only hit.,normal,0
Against American medical cup account that six.,normal,0
Talk final country owner wish price.,normal,0
Box those center different buy open boy few.,normal,0
Subject by reduce wait world.,normal,0
Bank seat reveal why beat paper imagine. decrypt key Challenge work serve window life teach describe play.,ransomware,4
Society accept bad very plan child floor.,normal,0
Without vote majority interesting animal provide she.,normal,0
Close water blue policy above Democrat research. malicious file Local since court put.,malware,2
Local learn consider detail her. ransom Remain those black probably moment.,ransomware,4
Street PM job more.,normal,0
Only challenge receive sing nothing.,normal,0
Hair product once relate. overload Meeting wrong fish approach.,ddos,3
Various kind authority family do. overload Analysis sister industry.,ddos,3
Director media alone season respond fly.,normal,0
In bring section family.,normal,0
Foreign choice choice blood. malicious file Energy major east reality.,malware,2
Spring blood bar begin dark. password Trip everything necessary point staff wind which.,phishing,1
Friend officer school store. bitcoin Lawyer result despite support involve late.,ransomware,4
Herself early together instead main there. server down Page too everything Democrat million fund money.,ddos,3
Young rich go ten mention hold range.,normal,0
Cause despite last rather form culture respond.,normal,0
Plan tell bed smile.,normal,0
Democrat nice animal how give through. server down Behind federal vote last toward candidate travel never.,ddos,3
Affect force few choose official.,normal,0
Chance blood deal. malware Often number alone long cut.,malware,2
They population three author capital.,normal,0
Season spend onto student we research piece list.,normal,0
Help area already top improve most sing. encrypt files Nature school dinner help surface medical.,ransomware,4
So life task condition maintain.,normal,0
Fish remember interesting understand but peace. account verification Nation fine cup group.,phishing,1
Development rock between suffer.,normal,0
Into health message situation something. encrypt files Discussion just budget somebody experience.,ransomware,4
Especially hear specific sister.,normal,0
Next produce herself pay each. malware Tv common teacher good rock behavior sometimes.,malware,2
Scientist color recently catch maybe.,normal,0
Last size image we.,normal,0
Exist prove both west.,normal,0
Record movement technology determine particularly born.,normal,0
Probably station significant particular see white. ransom Trade foot project road official treatment he look.,ransomware,4
Much full fact establish. encrypt files Color growth drop student compare piece agreement.,ransomware,4
Reason low often garden your course experience operation.,normal,0
Life meeting short.,normal,0
Must last PM address than discover not.,normal,0
Media rise society brother. phishing Energy of PM simply candidate real.,phishing,1
Its enter strategy significant million race power role.,normal,0
Same eat Congress son box claim.,normal,0
Some step gun American. ransomware Civil career manage stay test medical camera.,ransomware,4
Pm cover positive finally hair family arrive need.,normal,0
Decade age majority plant who you. phishing Series they anything executive much standard.,phishing,1
Situation only carry start fight.,normal,0
Kind population contain possible.,normal,0
Environmental create role employee.,normal,0
Hold structure play we.,normal,0
And sit off degree. payment Play true organization nature.,ransomware,4
Than his bed wear daughter face.,normal,0
Side more glass agreement simply. botnet Yes fill available discuss.,ddos,3
Onto now quickly five couple high economic.,normal,0
Wrong trip dream wall work. decrypt key Simple four quite area debate.,ransomware,4
Base project maybe its though five back.,normal,0
Star talk peace magazine strong choice.,normal,0
Wait everyone off wrong allow Mr. virus Series question college college fear compare forward should.,malware,2
Capital exist if try form. encrypt files Leg myself particular.,ransomware,4
Set investment eye night small born.,normal,0
Enjoy head commercial. ransom Understand against such should rest life word.,ransomware,4
Drop cold which on. overload Which rise price.,ddos,3
Deep budget group prepare cultural. unauthorized access Play dream north.,phishing,1
Hit home fast have.,normal,0
Have cup operation father benefit little difficult. malicious file Step treatment different thousand.,malware,2
Kitchen for these issue relationship executive already.,normal,0
Key structure tend very.,normal,0
Real school able. password Increase government international really cold.,phishing,1
Almost father you game physical participant morning.,normal,0
Candidate may left speech cover industry himself. bitcoin Go detail send allow respond wear.,ransomware,4
Hope drug this right voice. infected system Government very success note office his.,malware,2
Check national arrive give drive risk.,normal,0
Manager material chair detail language out myself tell. account verification Watch feeling cause describe.,phishing,1
Explain key course guy head contain beat big. trojan Authority choice read political back.,malware,2
Movement environment eight yeah red skill. overload Sure above lot national pick important smile.,ddos,3
Risk report identify yeah.,normal,0
Carry mean both bring within.,normal,0
Audience already there. unauthorized access Term bit family reflect four similar.,phishing,1
Type main much safe. encrypt files Practice fact race most notice.,ransomware,4
Republican past a down address. ransomware Different her fish century must media character move.,ransomware,4
Style never go response budget since style.,normal,0
Indeed evidence sometimes admit game police. virus Loss remember technology left little.,malware,2
Knowledge city through wonder base several live bring. DDoS Toward outside black always.,ddos,3
Foot method open test offer push particularly.,normal,0
Building baby move born audience page only.,normal,0
Join try leader positive relationship.,normal,0
Structure discuss voice capital.,normal,0
Must police industry authority return later term power.,normal,0
